"項目名称","No","顧客番号","顧客番号件数","姓","姓件数","カナ姓","カナ姓件数","名","名件数","カナ名","カナ名件数","性別","性別件数","生年月日","生年月日件数","電話番号","電話番号件数","携帯電話番号","携帯電話番号件数","Mailアドレス","Mailアドレス件数","郵便番号","郵便番号件数","住所","住所件数","最終DM名称","最終DM名称件数","総DM発送回数","総DM発送回数件数","DM戻り","DM戻り件数","DM拒否","DM拒否件数","メルマガ拒否","メルマガ拒否件数","削除フラグ","削除フラグ件数","最終更新日時","最終更新日時件数","作成日時","作成日時件数"
"値（５０件）",24,41,,"遠藤",,"エンドウ",,"あみ子",,"アミコ",,"女",,19710618,,"0411094385",,"09060618528",,"endou1@shizuoka.ac.jp",,4110943,,"静岡県駿東郡長泉町下土狩",,"2019年秋インターネット",,8,,"N",,"N",,"N",,"N",,2016/06/19 07:11:19,,2011/06/21 07:11:19,
"値（５０件）",25,42,,"青木",,"アオキ",,"あやめ",,"アヤメ",,"女",,19670226,,"0731011195",,"09020229540",,"aoki1@hiroshima.ac.jp",,7310111,,"広島県広島市安佐南区東野１",,"2018年お歳暮",,3,,"N",,"N",,"N",,"N",,2018/04/12 07:05:05,,2010/02/08 07:05:05,
"値（５０件）",26,45,,"福田",,"フクダ",,"卓",,"タク",,"男",,19630208,,"0519583525",,"09080202535",,"hukuda1@mie.ac.jp",,5195835,,"三重県南牟婁郡紀宝町大里",,"2018年お歳暮",,1,,"N",,"N",,"N",,"N",,2013/08/05 07:12:02,,2008/08/05 07:12:02,
"値（５０件）",27,46,,"太田",,"オオタ",,"智之",,"トモユキ",,"男",,19580612,,"0720007652",,"09030615215",,"oota1@hiroshima.co.jp",,7200076,,"広島県福山市本庄町中１",,"2018年お歳暮",,10,,"N",,"N",,"N",,"N",,2016/10/05 07:17:22,,2011/03/28 07:17:22,
"値（５０件）",28,47,,"岡本",,"オカモト",,"航平",,"コウヘイ",,"男",,19930303,,"0533003213",,"09080301331",,"okamoto1@osaka.or.jp",,5330032,,"大阪府大阪市東淀川区淡路２",,"2019年春インターネット",,1,,"N",,"N",,"N",,"N",,2012/11/25 07:14:59,,2007/11/27 07:14:59,
"値（５０件）",29,48,,"松田",,"マツダ",,"誠也",,"セイヤ",,"男",,19931010,,"0028442313",,"09081011331",,"matsuda1@iwate.or.jp",,284423,,"岩手県岩手郡岩手町大字土川",,"2018年お歳暮",,11,,"N",,"N",,"N",,"N",,2018/12/14 07:15:56,,2010/04/21 07:15:56,
"値（５０件）",30,49,,"中野",,"ナカノ",,"いく子",,"イクコ",,"女",,19560701,,"0718001216",,"09010701654",,"nakano1@okayama.go.jp",,7180012,,"岡山県新見市唐松",,"2018年お歳暮",,10,,"N",,"N",,"N",,"N",,2018/11/24 07:08:43,,2010/03/10 07:08:43,
"値（５０件）",31,50,,"小野",,"オノ",,"雄貴",,"ユウキ",,"女",,19530511,,"0466001421",,"09080512181",,"ono1@aichi.com",,4660014,,"愛知県名古屋市昭和区東畑町１",,"2018年お歳暮",,10,,"N",,"N",,"N",,"N",,2014/02/22 07:07:03,,2008/02/23 07:07:03,
"値（５０件）",32,51,,"小野",,"オノ",,"拓郎",,"タクロウ",,"男",,19930612,,"0157007213",,"09080611331",,"ono2@tokyo.or.jp",,1570072,,"東京都世田谷区祖師谷４",,"2019年春インターネット",,1,,"N",,"N",,"N",,"N",,2013/04/02 07:04:25,,2008/04/02 07:04:25,
"値（５０件）",33,53,,"田村",,"タムラ",,"達哉",,"タツヤ",,"男",,19750321,,"0717010546",,"09000324633",,"tamura1@okayama.go.jp",,7170105,,"岡山県真庭郡美甘村大字美甘",,"2019年春インターネット",,1,,"N",,"N",,"N",,"N",,2012/09/24 07:18:59,,2008/09/25 07:18:59,
"値（５０件）",34,54,,"田村",,"タムラ",,"智",,"チ",,"女",,19480422,,"0726001117",,"09030421781",,"tamura2@hiroshima.ed.jp",,7260011,,"広島県府中市広谷町",,"2019年秋インターネット",,2,,"N",,"N",,"N",,"N",,2018/04/01 07:13:51,,2010/04/01 07:13:51,
"値（５０件）",35,55,,"竹内",,"タケウチ",,"いち",,"イチ",,"女",,19561028,,"0329111258",,"09011025826",,"takeuchi1@tochigi.lg.jp",,3291112,,"栃木県河内郡河内町大字上田原",,"2019年お歳暮",,10,,"N",,"N",,"N",,"N",,2018/06/21 07:06:59,,2010/02/21 07:06:59,
"値（５０件）",36,56,,"金子",,"カネコ",,"いつ美",,"イツビ",,"女",,19510808,,"0718010344",,"09060804451",,"kaneko1@okayama.ne.jp",,7180103,,"岡山県新見市千屋井原",,"2019年お歳暮",,9,,"N",,"N",,"N",,"N",,2018/12/28 07:08:32,,2010/02/23 07:08:32,
"値（５０件）",37,59,,"柴田",,"シバタ",,"隼",,"ハヤブサ",,"男",,19820529,,"0512093353",,"09070525316",,"shibata1@mie.or.jp",,5120933,,"三重県四日市市三滝台３",,"2019年春インターネット",,1,,"N",,"N",,"N",,"N",,2018/03/31 07:08:45,,2010/03/31 07:08:45,
"値（５０件）",38,61,,"酒井",,"サカイ",,"いね子",,"イネコ",,"女",,19771206,,"0168006217",,"09021201755",,"sakai1@tokyo.ed.jp",,1680062,,"東京都杉並区方南２",,"2019年お歳暮",,3,,"N",,"N",,"N",,"N",,2017/10/07 07:13:28,,2011/03/14 07:13:28,
"値（５０件）",39,62,,"工藤",,"クドウ",,"崇",,"タカシ",,"男",,19740309,,"0598002192",,"09090309291",,"kudou1@osaka.co.jp",,5980021,,"大阪府泉佐野市日根野",,"2019年秋インターネット",,7,,"N",,"N",,"N",,"N",,2016/07/27 07:05:15,,2011/07/29 07:05:15,
"値（５０件）",40,64,,"安藤",,"アンドウ",,"雄平",,"ユウヘイ",,"男",,19730113,,"0229001102",,"09080110223",,"andou1@kanagawa.co.jp",,2290011,,"神奈川県相模原市大野台４",,"2019年春インターネット",,1,,"N",,"N",,"N",,"N",,2012/06/09 07:15:53,,2008/06/10 07:15:53,
"値（５０件）",41,65,,"谷口",,"タニグチ",,"良輔",,"ヨシシケ",,"男",,19670214,,"0920021525",,"09020212501",,"taniguchi1@ishikawa.ac.jp",,9200215,,"石川県金沢市弓取町",,"2018年お歳暮",,2,,"N",,"N",,"N",,"N",,2013/10/06 07:21:27,,2008/10/06 07:21:27,
"値（５０件）",42,66,,"丸山",,"マルヤマ",,"雄基",,"ユウキ",,"男",,19931022,,"0943080113",,"09081021332",,"maruyama1@niigata.or.jp",,9430801,,"新潟県上越市中門前２",,"2019年春インターネット",,1,,"N",,"N",,"N",,"N",,2013/04/03 07:11:13,,2008/04/03 07:11:13,
"値（５０件）",43,67,,"今井",,"イマイ",,"圭太",,"ケイタ",,"男",,19930327,,"0930210513",,"09080321332",,"imai1@toyama.or.jp",,9302105,,"富山県婦負郡山田村湯",,"2018年お歳暮",,8,,"N",,"N",,"N",,"N",,2018/02/09 07:02:53,,2010/02/09 07:02:53,
"値（５０件）",44,69,,"高田",,"タカダ",,"洋輔",,"ヨウスケ",,"男",,19630701,,"0710001625",,"09080702536",,"takada1@okayama.ac.jp",,7100016,,"岡山県倉敷市中庄",,"2019年秋インターネット",,4,,"N",,"N",,"N",,"N",,2014/02/26 07:05:49,,2008/02/27 07:05:49,
"値（５０件）",45,70,,"河野",,"コウノ",,"智大",,"トモヒロ",,"男",,19620107,,"0799150689",,"09070108975",,"kouno1@ehime.net",,7991506,,"愛媛県今治市東村１",,"2019年春インターネット",,1,,"N",,"N",,"N",,"N",,2012/08/01 07:08:39,,2008/08/02 07:08:39,
"値（５０件）",46,73,,"藤本",,"フジモト",,"拓実",,"タクジツ",,"男",,19610713,,"0725002145",,"09060714524",,"hujimoto1@hiroshima.ac.jp",,7250021,,"広島県竹原市竹原町",,"2018年お歳暮",,11,,"N",,"N",,"N",,"N",,2019/01/09 07:03:13,,2010/02/18 07:03:13,
"値（５０件）",47,75,,"藤本",,"フジモト",,"明",,"メイ",,"女",,19930814,,"0676001113",,"09080811332",,"hujimoto2@hyougo.or.jp",,6760011,,"兵庫県高砂市荒井町小松原３",,"2019年秋インターネット",,6,,"N",,"N",,"N",,"N",,2018/06/08 07:21:59,,2010/06/08 07:21:59,
"値（５０件）",48,79,,"小島",,"コジマ",,"大智",,"ダイチ",,"男",,19650624,,"0713811359",,"09000625979",,"kojima1@okayama.net",,7138113,,"岡山県倉敷市玉島八島",,"2019年春インターネット",,1,,"N",,"N",,"N",,"N",,2018/03/03 07:08:12,,2010/03/03 07:08:12,
"値（５０件）",49,80,,"村田",,"ムラタ",,"大和",,"ヤマト",,"男",,19930606,,"0700005313",,"09080601332",,"murata1@okayama.or.jp",,7000053,,"岡山県岡山市下伊福本町",,"2019年秋インターネット",,9,,"N",,"N",,"N",,"N",,2017/09/11 07:11:19,,2011/02/23 07:11:19,
"値（５０件）",50,81,,"増田",,"マスダ",,"えりな",,"エリナ",,"女",,19580125,,"0702800529",,"09030122949",,"masuda1@okayama.net",,7028005,,"岡山県岡山市江崎",,"2019年秋インターネット",,6,,"N",,"N",,"N",,"N",,2016/06/29 07:42:32,,2011/03/15 07:42:32,
"値数",,,2200000,"",30000,"",22271,"",35910,"",15523,"",2,,2340,"",1278525,"",1223255,"",2187540,,94077,"",174715,"",6,,12,"",2,"",2,"",2,"",1,,720147,,711305
"最小値",1,1,1,"〆木",82,"アイ",277,"あい",53,"アアオイ",56,"女",994553,19450101,260,"0001001005",1,"09000100256",1,"",12461,10010,22,"愛知県愛知郡長久手町井堀",14,"2018年お歳暮",177028,1,1555228,"N",2196834,"N",2199056,"N",2199933,"N",2200000,2012/04/10 00:14:02,1,2007/11/03 07:21:31,1405
"最小値",2,3,1,"〆野",66,"アイイソ",69,"あいか",52,"アアヤミ",41,"男",1205447,19450107,264,"0001001008",1,"09000100257",2,"abari10@tokyo.org",1,10011,40,"愛知県愛知郡長久手町蟹原",42,"2018年お中元",23053,2,240256,"Y",3166,"Y",944,"Y",67,"",,2012/04/10 00:18:38,1,2007/11/04 07:02:26,8
"最小値",3,5,1,"阿井",65,"アイウチ",145,"あいこ",52,"アイ",711,"",,19450113,273,"0001001016",1,"09000100258",1,"abari11@hokkaido.or.jp",1,10012,28,"愛知県愛知郡長久手町喜婦嶽",23,"2019年お歳暮",76137,3,79387,"",,"",,"",,"",,2012/04/10 00:24:00,1,2007/11/04 07:02:27,5
"最小値",4,6,1,"阿加井",75,"アイウラ",67,"あいの",53,"アイ々",56,"",,19450119,275,"0001001022",1,"09000100265",1,"abari12@aichi.net",1,10013,37,"愛知県愛知郡長久手町久保山",27,"2019年お中元",28095,4,51273,"",,"",,"",,"",,2012/04/10 00:27:06,1,2007/11/04 07:02:28,2
"最小値",5,7,1,"阿嘉",75,"アイオイ",65,"あいら",57,"アイアキ",47,"",,19450125,270,"0001001025",1,"09000100266",1,"abari13@hokkaido.ac.jp",1,10014,17,"愛知県愛知郡長久手町熊田",24,"2019年秋インターネット",313773,5,43410,"",,"",,"",,"",,2012/04/10 00:27:36,1,2007/11/04 07:02:38,1
"最大値",1,2539744,1,"槇野",73,"ワンメ",82,"瀨奈",54,"一ッヱ",39,"男",1205447,19931230,6306,"0999859945",1,"09091239777",2,"zusho9@kanagawa.lg.jp",1,9998599,1,"和歌山県和歌山市藪ノ丁",3,"2019年春インターネット",1581914,12,7,"Y",3166,"Y",944,"Y",67,"N",2200000,2019/01/30 18:34:07,19,2013/01/29 07:18:44,1
"最大値",2,2539743,1,"槇本",70,"ワンダ",72,"淸",52,"ヲフサ",62,"女",994553,19931224,6281,"0999853184",2,"09091239774",1,"zusho8@wakayama.net",1,9998531,11,"和歌山県和歌山市和田",9,"2019年秋インターネット",313773,11,10487,"N",2196834,"N",2199056,"N",2199933,"",,2019/01/30 18:33:59,1,2013/01/29 07:17:18,1
"最大値",3,2539742,1,"槇尾",78,"ワレタニ",61,"侚子",45,"ヲナオ",65,"",,19931218,6348,"0999853176",1,"09091239759",1,"zusho81@shizuoka.org",1,9998525,7,"和歌山県和歌山市和佐中",4,"2019年お中元",28095,10,50455,"",,"",,"",,"",,2019/01/30 18:33:51,1,2013/01/29 07:16:03,1
"最大値",4,2539741,1,"槇島",78,"ワリタニ",84,"瑤平",63,"ヲトメ",50,"",,19931212,6197,"0999853171",2,"09091239757",1,"zusho80@kouchi.ed.jp",1,9998524,4,"和歌山県和歌山市和佐関戸",7,"2019年お歳暮",76137,9,56477,"",,"",,"",,"",,2019/01/30 18:32:59,1,2013/01/29 07:15:35,1
"最大値",5,2539739,1,"槇田",59,"ワリガイ",74,"瑤子",55,"ヲコン",50,"",,19931206,6302,"0999853145",1,"09091239755",1,"zusho7@nagasaki.ac.jp",1,9998523,10,"和歌山県和歌山市和歌川町",11,"2018年お中元",23053,8,39039,"",,"",,"",,"",,2019/01/30 18:28:59,1,2013/01/29 07:13:57,1
"最小件数",1,1,1,"越賀",53,"コシガ",53,"憂季枝",29,"カズカ",29,"女",994553,19861004,69,"0001001005",1,"09000100256",1,"abari10@tokyo.org",1,10927,1,"愛知県愛知郡長久手町原山",1,"2018年お中元",23053,12,7,"Y",3166,"Y",944,"Y",67,"N",2200000,2012/04/10 00:14:02,1,2007/11/04 07:02:38,1
"最小件数",2,3,1,"神品",53,"タワキ",53,"和香",29,"オンコ",32,"男",1205447,19500802,70,"0001001008",1,"09000100258",1,"abari11@hokkaido.or.jp",1,18073,1,"愛知県愛知郡長久手町大字岩作字下島",1,"2019年お中元",28095,11,10487,"N",2196834,"N",2199056,"N",2199933,"",,2012/04/10 00:18:38,1,2007/11/05 07:02:40,1
"最小件数",3,5,1,"田脇",53,"トクミズ",53,"絢佳",31,"チミズ",32,"",,19780719,70,"0001001016",1,"09000100265",1,"abari12@aichi.net",1,18799,1,"愛知県愛知郡長久手町大字岩作字床寒",1,"2019年お歳暮",76137,7,36192,"",,"",,"",,"",,2012/04/10 00:24:00,1,2007/11/07 07:02:26,1
"最小件数",4,6,1,"徳水",53,"ホンカン",53,"藍江里",31,"シマメグミ",33,"",,19841224,70,"0001001022",1,"09000100266",1,"abari13@hokkaido.ac.jp",1,28031,1,"愛知県愛知郡長久手町大字岩作字西浦",1,"2018年お歳暮",177028,6,37789,"",,"",,"",,"",,2012/04/10 00:27:06,1,2007/11/07 07:03:01,1
"最小件数",5,7,1,"本館",53,"キメダ",54,"亜季恵",32,"ニジホ",33,"",,19840802,71,"0001001025",1,"09000100269",1,"abari14@niigata.ne.jp",1,38640,1,"愛知県愛知郡長久手町大字岩作字中根原",1,"2019年秋インターネット",313773,8,39039,"",,"",,"",,"",,2012/04/10 00:27:36,1,2007/11/07 07:03:13,1
"最大件数",1,2539744,1,"長原",104,"コウノ",1129,"豊",147,"ユウキ",8793,"男",1205447,19931218,6348,"0331082361",38,"09010700034",14,"",12461,1750082,1421,"神奈川県横浜市泉区和泉町",1006,"2019年春インターネット",1581914,1,1555228,"N",2196834,"N",2199056,"N",2199933,"N",2200000,2018/04/04 18:24:45,41,2007/11/03 07:21:31,1405
"最大件数",2,2539743,1,"表田",103,"カンノ",1056,"茉央",142,"ヨシヒロ",5610,"女",994553,19930814,6337,"0136007256",29,"09040413449",13,"zusho9@kanagawa.lg.jp",1,1360072,1275,"静岡県沼津市大岡",640,"2019年秋インターネット",313773,2,240256,"Y",3166,"Y",944,"Y",67,"",,2018/03/01 21:59:13,38,2011/12/30 07:21:31,64
"最大件数",3,2539742,1,"丸田",102,"アイザワ",1003,"美貴",142,"ヒロアキ",4687,"",,19930808,6310,"0338000161",28,"09010700016",13,"zusho8@wakayama.net",1,1360071,1198,"埼玉県戸田市美女木東１",617,"2018年お歳暮",177028,3,79387,"",,"",,"",,"",,2016/10/15 07:15:21,38,2010/04/04 18:24:45,46
"最大件数",4,2539741,1,"能條",101,"サカイ",986,"千賀",142,"タカヒロ",4457,"",,19931230,6306,"0175008234",28,"09081213687",12,"zusho81@shizuoka.org",1,2450016,1002,"岐阜県恵那市大井町",608,"2019年お歳暮",76137,9,56477,"",,"",,"",,"",,2018/02/21 07:15:48,37,2011/10/20 07:18:32,44
"最大件数",5,2539739,1,"蔵岡",101,"オガタ",940,"広美",142,"マサヒロ",4409,"",,19931206,6302,"0175008295",27,"09081022755",12,"zusho80@kouchi.ed.jp",1,1810013,901,"神奈川県横浜市戸塚区戸塚町",575,"2019年お中元",28095,4,51273,"",,"",,"",,"",,2016/10/18 07:18:32,37,2010/02/21 07:15:48,44
"最小桁数",1,1,1,"愛",2,"イ",2,"愛",2,"イ",2,"女",2,19450101,8,"03999381",8,"09000100256",11,"",0,10010,5,"岐阜県美濃市",12,"2018年お歳暮",12,1,1,"N",1,"N",1,"N",1,"N",1,2012/04/10 00:14:02,19,2007/11/03 07:21:31,19
"最小桁数",2,3,1,"葵",2,"ウ",2,"逢",2,"エ",2,"男",2,19450107,8,"09998488",8,"09000100257",11,"e2@gifu.org",11,10011,5,"滋賀県湖南市",12,"2018年お中元",12,2,1,"Y",1,"Y",1,"Y",1,"",,2012/04/10 00:18:38,19,2007/11/04 07:02:26,19
"最小桁数",3,5,1,"茜",2,"エ",2,"葵",2,"ガ",2,"",,19450113,8,"059180096",9,"09000100258",11,"io6@mie.net",11,10012,5,"静岡県下田市",12,"2019年お歳暮",12,3,1,"",,"",,"",,"",,2012/04/10 00:24:00,19,2007/11/04 07:02:27,19
"最小桁数",4,6,1,"旭",2,"カ",2,"茜",2,"キ",2,"",,19450119,8,"059180378",9,"09000100265",11,"ni6@mie.net",11,10013,5,"千葉県旭市イ",12,"2019年お中元",12,4,1,"",,"",,"",,"",,2012/04/10 00:27:06,19,2007/11/04 07:02:28,19
"最小桁数",5,7,1,"芦",2,"キ",2,"渥",2,"ギ",2,"",,19450125,8,"0001001005",10,"09000100266",11,"o29@mie.net",11,10014,5,"千葉県旭市ニ",12,"2019年秋インターネット",22,5,1,"",,"",,"",,"",,2012/04/10 00:27:36,19,2007/11/04 07:02:38,19
"最大桁数",1,2539744,7,"八木ケ谷",8,"ヨンジュウキュウ",16,"ユウイチロウ",12,"トオルココロザシシゲル",22,"男",2,19931230,8,"0999859945",10,"09091239777",11,"takarashimesuto52@hiroshima.ed.jp",33,9998599,7,"京都府京都市上京区大宮通寺之内半丁下る東入西北小路町",52,"2019年春インターネット",22,12,2,"Y",1,"Y",1,"Y",1,"N",1,2019/01/30 18:34:07,19,2013/01/29 07:18:44,19
"最大桁数",2,2539743,7,"八月朔日",8,"ワカヤナギキチ",14,"シンイチロウ",12,"ミヤコムラサキメグミ",20,"女",2,19931224,8,"0999853184",10,"09091239774",11,"takarashimesuto41@hiroshima.ne.jp",33,9998531,7,"京都府京都市上京区今小路通七本松西入２丁目東今小路町",52,"2019年秋インターネット",22,11,2,"N",1,"N",1,"N",1,"",,2019/01/30 18:33:59,19,2013/01/29 07:17:18,19
"最大桁数",3,2539742,7,"波々伯部",8,"ヨンジュウマン",14,"コウイチロウ",12,"ココロザシマンメグミ",20,"",,19931218,8,"0999853176",10,"09091239759",11,"takarashimesuto31@kagoshima.ne.jp",33,9998525,7,"宮城県仙台市青葉区ＳＳ３０住友生命仙台中央ビル２５階",52,"2019年お中元",12,10,2,"",,"",,"",,"",,2019/01/30 18:33:51,19,2013/01/29 07:16:03,19
"最大桁数",4,2539741,7,"日根野谷",8,"メグムサイワイ",14,"りょうたろう",12,"ココロザシタマカオリ",20,"",,19931212,8,"0999853171",10,"09091239757",11,"shimokaraminato62@fukushima.ne.jp",33,9998524,7,"京都府京都市東山区古門前通大和大路東入２丁目三吉町",50,"2019年お歳暮",12,9,1,"",,"",,"",,"",,2019/01/30 18:32:59,19,2013/01/29 07:15:35,19
